"* Required Fields","* Champs obligatoires"
"Comment","Commenter"
"Contact Details","Comment nous contacter"
"Contact Form","Formulaire de contact"
"Contact Information","Informations de contact"
"Contact Us","Nous contacter"
"Contact Us Form","Formulaire de contact"
"Contacts","Contacts"
"Contacts Section","Section de contacts"
"Email","Email"
"Email Options","Options d'email"
"Email Sender","Expéditeur de l'email"
"Email Template","Modèle d'email"
"Enable Contact Us","Activer contatez-nous"
"Name","Nom"
"Send Emails To","Envoyer emails à"
"Submit","Soumettre"
"Telephone","Téléphone"
"Unable to submit your request. Please, try again later","Impossible de soumettre votre requête. Veuillez réessayer plus tard."
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Votre requête a été envoyée et nous y répondrons aussi vite que possible. Merci de nous avoir contactés."
"Leave Comment","Laisser un message"
"Enter Your Name *","Entrer votre nom *"
"Email","E-mail"
"Enter Your Email *","Entrer votre email *"
"Enter Your Telephone","Entrer votre téléphone"
"Your Comment *","Votre message *"
"Comment","Message"
"Your email address will not be published. Required fields are marked ","Votre adresse email ne sera pas communiquée. Les champs obligatoires sont marqués par "
"Phone:","Téléphone :"
"Fax:","Fax :"




